name,grade,board_angle,moonboard_year,setter,start_holds,middle_holds,end_holds,rules,is_benchmark
G1,6A+,40°,2017,Francisco Herrera,"F5,","I8,H10,G13,E13,E16,C16,","F18,",Feet follow hands + screw ons,FALSE
THURSDAY WORK,6A+,40°,2017,Sandra,"D4,H5,","F8,H10,D10,E13,D15,C16,","E18,",Feet follow hands,FALSE
DOUBLE UP,6A+,40°,2017,Tai,"G4,J4,","I7,H10,F13,F14,C16,","A18,",Feet follow hands,FALSE
あっきーの(足自由),6A+,40°,2017,Akino,"F5,","E8,I8,H10,F12,D15,G13,","F18,",Feet follow hands,FALSE
DOOM KONG,6A+,40°,2017,Nomnomnom2,"C4,F5,","F9,D11,H11,I15,F13,","H18,",Feet follow hands + screw ons,FALSE
LILY,6A+,40°,2017,Nomnomnom2,"F5,H5,","I7,F8,H10,F12,E13,C14,C16,G2,","B18,",Feet follow hands,FALSE
GORGONZOLA,6A+,40°,2017,dont spot me watch me,"C2,C3,","C4,B6,B7,C8,A9,D11,A13,C15,B16,B17,F16,","G18,",Feet follow hands,FALSE
LOS1,6A+,40°,2017,MarcinK,"D2,H5,","F7,C7,D10,C13,F12,C16,","F18,",Feet follow hands,FALSE
UNDERWORLD,6A+,40°,2017,manta,"F5,","I8,D9,H10,C13,G14,","E18,",Feet follow hands,FALSE
FIRST TIME,6A+,40°,2017,Kinta,"E6,D4,","A4,B8,E11,C13,C16,","B18,",Feet follow hands,FALSE
BETTERTHANTHELASTONEWEMAD,6A+,40°,2017,Spaggle Fresh!,"D5,H5,","E13,C16,B13,F8,D10,D2,","B18,D18,",Feet follow hands,FALSE
STEFF DID THIS,6A+,40°,2017,Spaggle Fresh!,"H5,F6,","H10,E1,G2,I1,F8,E13,C16,G13,E16,","F18,E18,",Feet follow hands,FALSE
EASIEST POSSIBLE,6A+,40°,2017,Spaggle Fresh!,"H5,F6,","F8,H10,E13,C16,G4,E16,C7,C10,F5,","F18,E18,",Feet follow hands,FALSE
BOBO,6A+,40°,2017,Cassel,"D4,H5,","F6,H8,F9,D10,B11,C13,A14,A12,A15,C16,A17,","A18,",Feet follow hands,FALSE
SOMETHING PROMISING,6A+,40°,2017,Astro,"F6,H5,","F8,I10,J11,H11,K6,G13,E16,","E18,",Feet follow hands,FALSE
MARTINATOR3000,6A+,40°,2017,Hcumberdale,"F5,","J16,G14,G13,I8,C10,C13,E11,C7,E8,","J18,",Feet follow hands,FALSE
CIE,6A+,40°,2017,joel,"F4,H5,","H10,C10,E13,F8,I7,C16,","F18,",Feet follow hands + screw ons,FALSE
U M A 1,6A+,40°,2017,U M A,"F3,","D4,E6,G8,D9,F12,D15,","F18,",Feet follow hands,FALSE
HAWT,6A+,40°,2017,Kevin Crosby,"F5,","B8,G10,C13,D15,","D18,",Footless + kickboard,FALSE
DZIKI Z FABRYKI VOL4,6A+,40°,2017,Arkadiusz Dziki-Sereda,"A6,E6,","C10,B13,A15,","B18,",Feet follow hands,FALSE
